,原矿水分,原矿硫化铜含量,原矿硫化铜金属,原矿全铜金属,原矿折干,原矿数量,原氧化铜含量,取数日期,原铜含量,精铜原矿数量,精铜水分,精铜金属铜,精铜矿折干,硫化铜回收率,精铜总铜含量,精铜硫化金属铜,精铜硫化铜品位
223,0.256,0.0281,114.49713020000002,293.72921148,8147.932000000001,9344.0,0.044,2025-01-16,0.0721,533.64,0.4324,96.531702584,418.338504,1.4160827194519139,0.4646,80.913857984,0.3899
224,0.2489,0.0303,128.60233776,320.03184096,8489.1924,9696.0,0.0451,2025-01-17,0.0754,571.02,0.4229,108.1626058656,450.271074,1.4312950742690864,0.48250000000000004,92.0478965736,0.4106
225,0.22440000000000002,0.0252,110.58351612000001,318.78573972000004,8773.0349,9881.0,0.047400000000000005,2025-01-18,0.0726,553.1800000000001,0.4304,93.8667448832,434.10425599999996,1.401941886865038,0.43370000000000003,77.476896544,0.358
226,0.3683,0.0442,194.20484342,495.04472214,13179.7819,15023.0,0.06839999999999999,2025-01-19,0.11259999999999999,890.2,0.6486,158.586344064,697.579392,2.115366744394527,0.6865,136.9637232048,0.595
227,0.2559,0.023700000000000002,100.18868194000001,274.86273324,8409.097,9643.0,0.0416,2025-01-20,0.0653,505.03999999999996,0.44289999999999996,79.050783321,393.321446,1.4525832422209577,0.3998,68.88430754359999,0.3478
228,0.2566,0.0225,92.74157152000001,248.3642579,8244.3138,9459.0,0.0378,2025-01-21,0.0603,643.86,0.4418000000000001,95.7057837588,501.70274799999993,1.7602697652407389,0.38130000000000003,81.67324969639998,0.3253
229,0.2418,0.0243,59.138035679999994,172.29081435999998,4648.7612,5264.0,0.048299999999999996,2025-01-22,0.0726,418.3,0.4316,69.39374324799999,326.95912,4.1096082925112425,0.4306,57.817902176000004,0.3597
230,0.1101,0.0129,52.864064549999995,150.80601359999997,5463.9895,5971.0,0.0239,2025-01-23,0.0368,186.1,0.4281,37.684412550000005,147.78201,0.5856593010497148,0.3448,30.960331095,0.2724
231,0.24380000000000002,0.0028000000000000004,7.074058460000001,120.61959468999999,5052.8989,5775.0,0.0427,2025-01-24,0.0455,496.34,0.0,0.0,496.34,0.0,0.0,0.0,0.0
232,0.22469999999999998,0.0205,67.66537524,244.725705,6593.169,7418.0,0.0527,2025-01-25,0.0732,333.15000000000003,0.4209,62.330482308600004,262.504743,1.5465834871428314,0.4938,51.1350348591,0.40990000000000004
233,0.2449,0.0275,116.10796038999999,313.55501458,8434.3963,9611.0,0.0468,2025-01-26,0.0743,559.0,0.42110000000000003,109.6621868384,440.94127999999995,1.5935989997618578,0.502,92.89838678319998,0.4261
234,0.2482,0.0252,52.67705993999999,163.77176393999997,4277.431799999999,4884.0,0.0509,2025-01-27,0.0761,420.26,0.4232,72.35186185,331.165084,12.17100687175057,0.42500000000000004,59.608218270799995,0.3474
235,0.1105,0.0101,39.924673799999994,144.6775308,3952.9379999999996,4444.0,0.0265,2025-01-28,0.0366,176.08,0.2095,31.359786372,139.19124,0.6226614546315967,0.2253,24.859555463999996,0.17859999999999998
236,0.2286,0.021400000000000002,88.54958536,307.05139424,8275.098399999999,9343.0,0.0528,2025-01-29,0.07419999999999999,582.6600000000001,0.42879999999999996,91.9736537832,457.73796600000003,1.6241662907105494,0.4018,72.03626737020001,0.3147
237,0.2476,0.026099999999999998,108.2924085,327.42605045,8289.2671,9461.0,0.0529,2025-01-30,0.079,591.26,0.4299,97.546939224,464.21702600000003,1.5311337749304605,0.4205,82.330040107,0.355
238,0.24630000000000002,0.025500000000000002,83.68992528000001,268.20765978000003,6639.1099,7564.0,0.0552,2025-01-31,0.0807,576.26,0.41659999999999997,107.13383873800001,456.235162,2.449716143780436,0.46920000000000006,90.751511259,0.3974
239,0.2531,0.0156,64.2726756,268.30229664,8116.5882,9296.0,0.050199999999999995,2025-02-01,0.0658,435.9,0.438,83.092935732,340.65042000000005,3.0101482055624436,0.4746,66.64687466400001,0.3768
240,0.2261,0.022199999999999998,94.65869448000001,306.17538504000004,8522.1864,9607.0,0.049600000000000005,2025-02-02,0.0718,600.7,0.4363,94.36541482320001,469.4863260000001,1.5655222006540688,0.40359999999999996,74.2308704184,0.318
241,0.2519,0.027,114.67827,320.71935959999996,8507.449499999999,9733.0,0.0484,2025-02-03,0.0754,569.0,0.397,102.72964796899998,456.04774,1.4687552539984932,0.4503,85.19022366600001,0.3734
242,0.2584,0.0255,56.01933583999999,165.81363136,4358.598399999999,5007.0,0.0505,2025-02-04,0.07600000000000001,353.26,0.4213,70.3363922464,279.781064,1.9274218794166509,0.4598,60.22898754240001,0.38760000000000006
243,0.25289999999999996,0.0254,104.17892567999999,287.86468686,8215.1646,9402.0,0.044700000000000004,2025-02-05,0.0701,488.41999999999996,0.4386,81.34694398879999,381.32347400000003,1.3211134937040407,0.4263,68.8685443042,0.3609
244,0.2524,0.0242,76.63919096000001,215.94837850000002,6180.5366,7065.0,0.045200000000000004,2025-02-06,0.0694,452.06,0.42979999999999996,78.4471650566,355.853662,1.67622306768029,0.4231,66.87760207280002,0.358
245,0.2644,0.0242,87.01245564,262.46176772,7329.1135,8441.0,0.0476,2025-02-07,0.0718,527.8399999999999,0.4465,80.4653951844,409.99938999999995,1.526433521000813,0.3925,66.252105613,0.32310000000000005
246,0.2515,0.0256,116.42624377000001,341.10068340000004,9086.7199,10394.0,0.0494,2025-02-08,0.07500000000000001,600.38,0.4236,120.9944041336,473.127076,1.8346917956139663,0.5093,107.28227880880002,0.4515
247,0.27290000000000003,0.026500000000000003,117.13467864,322.99608911999997,8839.3668,10236.0,0.0466,2025-02-09,0.0731,559.7,0.419,114.49124395679998,442.46823199999994,1.687661288682107,0.5172999999999999,98.9051046728,0.4468
248,0.25980000000000003,0.0298,127.83647020000001,317.68183868,8598.0508,9883.0,0.0442,2025-02-10,0.07400000000000001,603.86,0.41900000000000004,118.06657606919998,477.616634,1.5628662176043702,0.49529999999999996,99.8040899556,0.4194
249,0.2453,0.0279,125.70623569,324.00437255,9001.9981,10261.0,0.0441,2025-02-11,0.07200000000000001,612.42,0.414,117.76755049199997,485.69560799999994,1.6725562731561712,0.4855,104.31321619439998,0.4302
250,0.2308,0.028200000000000003,128.65035414,323.78617875,9115.3941,10305.0,0.0428,2025-02-12,0.07100000000000001,545.9200000000001,0.42510000000000003,95.1187462536,429.869826,1.2858549649727982,0.4425,81.8148190428,0.38070000000000004
251,0.2425,0.0273,114.28676805,304.3568437,8375.048499999999,9530.0,0.045399999999999996,2025-02-13,0.0727,769.84,0.4369,131.7134607684,601.592532,1.9344558583887823,0.4381,110.5427728284,0.36760000000000004
252,0.2539,0.026500000000000003,116.76920578,322.61421048,8813.516,10095.0,0.0467,2025-02-14,0.07319999999999999,543.96,0.43210000000000004,99.33857122,426.423872,1.4607643075126724,0.4659,85.28439110560001,0.4
253,0.2566,0.0274,98.27714352000001,269.07612492,7194.4852,8240.0,0.0478,2025-02-15,0.0752,579.2,0.4154,116.18846462399999,458.714656,2.066748576951269,0.5076,97.95114877040001,0.4278
254,0.25980000000000003,0.0242,80.3299063,243.33819635,6593.0965,7565.0,0.049699999999999994,2025-02-16,0.0739,364.91999999999996,0.45699999999999996,61.773813984,280.76704,1.2791518848557282,0.4376,50.61361099199999,0.3568
255,0.26,0.025500000000000002,61.22557374,176.12901992000002,4788.9400000000005,5484.0,0.0475,2025-02-17,0.073,381.52,0.4283,64.2981634386,300.64608599999997,2.30556787132944,0.4141,53.828960897399995,0.3437
256,0.2419,0.025800000000000003,108.2739281,307.35017497,8394.5443,9552.0,0.0474,2025-02-18,0.0732,543.78,0.41359999999999997,101.96586353320001,431.40307400000006,1.576598115569785,0.47350000000000003,85.26666506880001,0.3966
257,0.2592,0.0264,116.30000694000003,328.61891292000007,8810.098600000001,10122.0,0.04820000000000001,2025-02-19,0.0746,555.88,0.3999,111.23934094079999,444.807504,1.5919630191768892,0.4992,92.688090216,0.4162
258,0.2419,0.0264,118.41466414000001,366.89665958,8977.8102,10212.0,0.055400000000000005,2025-02-20,0.0818,580.3599999999999,0.4247,104.32329704719999,457.28191799999996,1.4225156265071006,0.4572,84.175206486,0.369
259,0.2629,0.0254,112.94309781999999,355.47353636,8889.571100000001,10235.0,0.054599999999999996,2025-02-21,0.08,575.54,0.4132,107.7546233984,456.68761600000005,1.5757258903150984,0.47219999999999995,89.2833546528,0.3897
260,0.2596,0.0245,108.85982575,338.56076573999997,8885.6574,10212.0,0.051699999999999996,2025-02-22,0.07619999999999999,536.5,0.4132,99.6858729136,426.03540999999996,1.5024226494742776,0.4702,81.2817669748,0.3843
261,0.1201,0.0124,37.34753148,119.87352846,3131.8977,3543.0,0.0274,2025-02-23,0.0398,317.78,0.4515,56.000044704,248.81504,1.2143670411065144,0.3442,46.342054752,0.26980000000000004
262,0.2313,0.0271,91.08456966,256.21363278,6838.902,7731.0,0.0484,2025-02-24,0.0755,464.5,0.41559999999999997,96.8968043952,367.976674,1.8493334271561108,0.5267999999999999,81.2829086836,0.44189999999999996
263,0.1359,0.0141,45.31158939,107.65519465000001,3213.5879,3719.0,0.0194,2025-02-25,0.0335,221.68,0.4399,35.1181860142,174.310394,0.5281373028437923,0.3617,29.0199807674,0.2933
264,0.24009999999999998,0.0274,121.7315144,318.10302912,8885.511999999999,10098.0,0.0442,2025-02-26,0.0716,541.24,0.40349999999999997,109.01105698559999,432.06050799999997,1.5365156842106158,0.5042,93.5279046636,0.43260000000000004
265,0.2434,0.0272,119.19435696,326.64800112,8753.975999999999,9968.0,0.0474,2025-02-27,0.0746,510.67999999999995,0.49350000000000005,99.5358665376,383.08027799999996,1.429123657430284,0.5197,84.610289892,0.4418
266,0.2154,0.0249,105.62295848,306.8820148,8462.3696,9482.0,0.0476,2025-02-28,0.07250000000000001,529.9200000000001,0.40850000000000003,95.025619008,421.40844000000004,1.5161272742209606,0.45690000000000003,79.284217788,0.3817
267,0.2358,0.025500000000000002,110.77191479999999,333.6484074,8684.2935,9845.0,0.0513,2025-03-01,0.07680000000000001,557.3,0.41690000000000005,102.4948486558,441.182818,1.5098958530996596,0.46499999999999997,83.68061974599999,0.37989999999999996
268,0.246,0.0229,102.5613824,342.03987552,8950.6744,10206.0,0.0535,2025-03-02,0.0764,554.52,0.4162,108.436091546,439.50453200000004,1.7393106554794184,0.4917,89.30629753640001,0.4047
269,0.2535,0.025,107.0794908,343.32546775000003,8568.7559,9813.0,0.055099999999999996,2025-03-03,0.0801,544.5,0.4236,97.37033775,429.19905,1.455102104740908,0.4533,78.100138725,0.3629
270,0.2197,0.0254,100.26323584000001,302.11991584000003,7844.9228,8827.0,0.0516,2025-03-04,0.07700000000000001,530.06,0.40959999999999996,93.6810635048,421.9189,1.6382471420448543,0.4414,77.7540931508,0.36640000000000006
271,0.1121,0.0115,42.71198555,139.27821375000002,4332.0857,4801.0,0.026000000000000002,2025-03-05,0.037500000000000006,291.08,0.4266,44.4123640976,230.91023599999997,0.722141431011043,0.3342,35.44105260959999,0.2617
272,0.2501,0.025800000000000003,114.2846267,332.2266637,8859.350999999999,10126.0,0.049199999999999994,2025-03-06,0.07500000000000001,564.13,0.40359999999999996,99.39339937919999,450.254416,1.4129891257281673,0.4424,80.65961367599999,0.3595
273,0.2517,0.0243,95.04119969999999,277.10485852,7811.3478,8937.0,0.0466,2025-03-07,0.07089999999999999,516.86,0.407,93.9349684944,411.691968,1.639942048304825,0.4555,78.4535481648,0.3803
274,0.2368,0.0241,106.82641025,331.25024127999995,8866.2035,10057.0,0.0506,2025-03-08,0.0747,558.8,0.417,101.48909738600001,442.64342,1.5427267505682638,0.4561,82.57501088800001,0.371
275,0.24280000000000002,0.0237,102.52488052999999,349.06888481,8651.399300000001,9847.0,0.056999999999999995,2025-03-09,0.0807,546.46,0.4343,89.2391568452,427.83616200000006,1.3670485215385386,0.4179,70.0999214256,0.3283
276,0.2415,0.0216,81.05033055999999,291.92189656000005,7573.7624000000005,8611.0,0.05550000000000001,2025-03-10,0.0771,548.1,0.42860000000000004,92.851989264,430.53333599999996,1.8381334706922083,0.4326,74.266039536,0.34629999999999994
277,0.24869999999999998,0.0113,49.57974553,172.43221232999997,5036.5049,5735.0,0.027999999999999997,2025-03-11,0.039299999999999995,294.74,0.4327,51.78181653339999,234.81436599999998,0.7688836631953564,0.3375,39.885720500999994,0.24939999999999998
278,0.262,0.025500000000000002,111.68404900000002,322.99488940000003,8761.813,10083.0,0.04819999999999999,2025-03-12,0.0737,554.04,0.41960000000000003,96.06846004159999,438.06324399999994,1.3641530964863722,0.4369,76.0878619156,0.3446
279,0.2526,0.0276,91.94364152,250.80997946000002,6568.947399999999,7526.0,0.0489,2025-03-13,0.07650000000000001,452.36,0.3998,107.27803588640002,361.922996,2.1842202007426925,0.5928,91.78749284160001,0.5072
280,0.2302,0.028900000000000002,124.68441659999999,331.72728557999994,8645.5806,9769.0,0.0479,2025-03-14,0.07680000000000001,563.5799999999999,0.4155,119.94767292600001,446.46885,1.689975109392256,0.5394000000000001,105.357628215,0.47409999999999997
281,0.2696,0.027700000000000002,94.14682579999999,266.98761329999996,6743.1806,7783.0,0.051199999999999996,2025-03-15,0.0789,436.20000000000005,0.425,74.81847807000001,344.11294000000004,1.3817377314543522,0.429,63.34617376400001,0.36160000000000003
282,0.2623,0.0257,111.914785,333.01075862,8692.2526,10004.0,0.0509,2025-03-16,0.0766,592.06,0.42279999999999995,109.4448635064,466.851496,1.714916362995303,0.4697,93.85604689920001,0.40280000000000005
283,0.2625,0.0225,98.56718043999999,324.74926664,8753.714,10076.0,0.051699999999999996,2025-03-17,0.0742,573.62,0.4011,105.8682752064,457.08183999999994,1.7915024353555613,0.472,88.7271524976,0.3964
284,0.24680000000000002,0.027100000000000003,120.3532495,328.62932146,8882.2173,10133.0,0.0469,2025-03-18,0.07400000000000001,482.97,0.3861,106.7963295456,389.400579,1.5265626688825893,0.5498000000000001,91.8701670357,0.47309999999999997
285,0.24319999999999997,0.0228,102.0378756,319.9785031,8950.440999999999,10190.0,0.0487,2025-03-19,0.07150000000000001,508.91999999999996,0.37760000000000005,116.68282456319999,412.72696799999994,2.044621736921332,0.5626,103.10959844039999,0.49700000000000005
286,0.2351,0.0247,110.04714604,316.7316018,8909.7072,10097.0,0.0464,2025-03-20,0.0711,505.94000000000005,0.3809,96.3713049728,409.62937600000004,1.4927971124459505,0.4689,80.6805934208,0.3918
287,0.2384,0.026600000000000002,116.1983098,306.45384588,8730.8788,9912.0,0.0436,2025-03-21,0.0702,617.2,0.4158,103.97273143799998,489.035308,1.5411543026699626,0.42679999999999996,89.33837405039999,0.367
288,0.2425,0.026500000000000003,111.77260615,301.85150923000003,8431.915099999998,9595.0,0.0451,2025-03-22,0.0716,619.28,0.424,94.0940934304,487.825984,1.3939303757500774,0.39289999999999997,77.9099779392,0.3258
289,0.2386,0.0245,94.31602914999999,273.47483409999995,7688.094999999999,8730.0,0.0465,2025-03-23,0.07100000000000001,545.95,0.43310000000000004,100.3407879481,427.710377,1.8171678437049166,0.4668,85.7834290423,0.3992
290,0.2527,0.0252,97.45023692000001,265.66271992,7735.1782,8854.0,0.0435,2025-03-24,0.0687,496.24,0.4254,76.6079296704,390.76728,1.3307743946224706,0.3986,64.7842701024,0.33830000000000005
291,0.24259999999999998,0.0228,97.91197887999999,301.69902704000003,8591.4528,9779.0,0.0475,2025-03-25,0.0703,530.02,0.42469999999999997,95.84376527999999,417.792624,1.6354940384422112,0.4538,79.5407001168,0.37629999999999997
292,0.23199999999999998,0.0241,82.67659968000001,232.90410368,6879.9295999999995,7780.0,0.0435,2025-03-26,0.0676,558.22,0.4415,79.34495161960001,434.990374,1.5976603300872645,0.3648,64.9978500032,0.2988
293,0.253,0.022899999999999997,99.98055162,305.64060354,8733.843,9998.0,0.0471,2025-03-27,0.06999999999999999,518.24,0.4292,75.7806572616,406.83737599999995,1.236823420479567,0.37749999999999995,61.8073265624,0.3087
294,0.263,0.0228,101.8549774,312.68037416,8933.3574,10286.0,0.047200000000000006,2025-03-28,0.07,508.96000000000004,0.4155,89.9454470912,403.329776,1.4605168867288376,0.4448,73.4697322736,0.36350000000000005
295,0.2545,0.019,82.06924746,304.39407879,8636.4753,9896.0,0.051500000000000004,2025-03-29,0.07050000000000001,460.21999999999997,0.4456,69.8660924406,357.87247,1.3818373522189293,0.39370000000000005,56.854472635600004,0.3196
296,0.247,0.0254,110.70223732,323.38914852000005,8716.7116,9948.0,0.048799999999999996,2025-03-30,0.0742,442.58000000000004,0.4179999999999999,94.0633132584,350.02775599999995,1.3481280384621717,0.5383,74.62049458839999,0.4283
297,0.257,0.0275,91.61171052,248.737305,6872.5662,7896.0,0.0457,2025-03-31,0.0732,478.78,0.40180000000000005,103.4410298104,382.682744,1.8180579095012268,0.5381,83.94820892800001,0.43620000000000003
298,0.242,0.0248,109.32465418999999,308.48266032,8827.578099999999,10045.0,0.0451,2025-04-01,0.06989999999999999,337.26,0.42610000000000003,68.41159490400001,265.40936,1.0780248113284694,0.5154000000000001,58.89926982,0.4437
299,0.2538,0.0215,95.53433679,306.08643897,8886.3984,10180.0,0.0474,2025-04-02,0.0689,454.42,0.4345,75.691545358,355.46497999999997,1.3623323303212427,0.4274,64.937791178,0.367
300,0.254,0.0249,104.07814656,289.08297408,8342.9568,9556.0,0.044300000000000006,2025-04-03,0.06920000000000001,497.48,0.41900000000000004,96.28756638919998,393.14806799999997,1.6487035824692096,0.49119999999999997,84.2238459568,0.4298
301,0.2312,0.0276,129.48700644,326.06486163,9382.6269,10609.0,0.0419,2025-04-04,0.0695,497.2,0.42769999999999997,103.55644522,391.096958,1.4170429244283005,0.5293,91.83565372179999,0.4695
302,0.24060000000000004,0.025599999999999998,114.59883108,309.96032723999997,8945.7981,10169.0,0.043699999999999996,2025-04-05,0.0693,529.94,0.42,108.21359831120002,418.61783,1.6826546022600049,0.5170000000000001,95.2396214962,0.455
303,0.2404,0.0225,103.86060656,306.38293340999996,9226.452099999999,10487.0,0.0439,2025-04-06,0.0664,519.12,0.434,93.9803348358,406.47138,1.5895703683297628,0.4623,81.6448674048,0.40159999999999996
304,0.24009999999999998,0.0287,123.21959649,300.1655079,8618.8793,9796.0,0.0407,2025-04-07,0.0694,533.38,0.4012,131.15072369519999,426.377082,1.918286559805688,0.6156,117.66968381219999,0.5521
305,0.11349999999999999,0.012,33.062904,96.7089942,2755.242,3108.0,0.0231,2025-04-08,0.0351,382.34000000000003,0.43420000000000003,51.367267884200004,302.681038,1.26589447561533,0.2639,44.5419771634,0.219
306,0.2349,0.024399999999999998,97.88809453,283.42456555,8050.0829,9119.0,0.0461,2025-04-15,0.0705,352.1,0.44789999999999996,61.811429448,271.47005,1.094877895419676,0.46609999999999996,53.040856007,0.40049999999999997
307,0.249,0.0223,92.62410904000001,269.75271852000003,8323.5572,9517.0,0.0426,2025-04-16,0.0649,565.6800000000001,0.4375,94.12819747680001,441.63786400000004,1.7352260627464644,0.4266,80.3325565688,0.3641
308,0.238,0.0178,80.08467963999999,274.90182236,8977.022,10189.0,0.0434,2025-04-17,0.0612,602.7,0.4533,81.059450175,466.17741,1.6653365698406506,0.34609999999999996,67.508615646,0.28800000000000003
309,0.24059999999999998,0.0221,97.66295345,304.50004625,8839.192000000001,10048.0,0.046799999999999994,2025-04-18,0.06889999999999999,612.3199999999999,0.42710000000000004,96.52804478940001,481.491582,1.687557251024872,0.4022,82.574078232,0.34419999999999995
310,0.26739999999999997,0.021400000000000002,91.12384327999999,292.91426206999995,8510.560699999998,9819.0,0.0477,2025-04-19,0.0691,598.1800000000001,0.44,92.85431064960001,466.605296,1.6906340741054673,0.39770000000000005,76.96759770720001,0.3296
311,0.2595,0.0201,89.09014105,290.11463200000003,8859.2245,10180.0,0.045399999999999996,2025-04-20,0.0655,588.12,0.4224,90.7370725368,463.893792,1.6780138085057277,0.3913,74.9214851576,0.3231
312,0.25029999999999997,0.0143,63.66459021000001,290.68057557000003,8895.5415,10170.0,0.051000000000000004,2025-04-21,0.0653,540.98,0.4675,61.88631015679999,414.967228,1.5102605544821186,0.298,47.8787653364,0.231
313,0.2491,0.0143,48.16474350000001,220.37811300000004,7296.978000000001,8305.0,0.0483,2025-04-22,0.0626,455.26,0.4448,45.50522530879999,354.088976,1.4325731918526723,0.2612,34.20516119999999,0.1972
