,明细_所属分类,填表人,图片,流水号,文件,审批状态,数据日期,明细_项目,oid,取数日期,TemplateCodeId,明细_数量,明细_所属项目,明细_备注,完成时间,班次,标题,申请日期,TemplateId,明细_计量单位
56,直接材料,柳新,,KPKYT（DJCQ2）CJSCRBB-20240602-001,,结束,2024-06-01 06:00:00,7期硫酸消耗,664aef5ce4b014e238bb1449,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,萃取硫酸,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 00:51:03,6654500626abb50001c5f993,立方米
57,直接材料,柳新,,KPKYT（DJCQ2）CJSCRBB-20240602-001,,结束,2024-06-01 06:00:00,七期萃取萃取量,664aef5ce4b014e238bb1449,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,7689.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 00:51:03,6654500626abb50001c5f993,立方米
58,直接材料,丁文杰,,KPKYT（DJCQ2）CJSCRBB-20240602-002,,结束,2024-06-01 06:00:00,4-5期瓜尔胶消耗,664aef5ce4b014e238bb144d,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,12.0,瓜尔胶,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 04:24:07,6654500626abb50001c5f993,KG
59,直接材料,丁文杰,,KPKYT（DJCQ2）CJSCRBB-20240602-002,,结束,2024-06-01 06:00:00,7期硫脲消耗,664aef5ce4b014e238bb144d,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 04:24:07,6654500626abb50001c5f993,KG
60,直接材料,丁文杰,,KPKYT（DJCQ2）CJSCRBB-20240602-002,,结束,2024-06-01 06:00:00,7期硫酸亚铁消耗,664aef5ce4b014e238bb144d,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,硫酸亚铁,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 04:24:07,6654500626abb50001c5f993,KG
61,直接材料,丁文杰,,KPKYT（DJCQ2）CJSCRBB-20240602-002,,结束,2024-06-01 06:00:00,7期萃取剂消耗,664aef5ce4b014e238bb144d,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,萃取剂,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 04:24:07,6654500626abb50001c5f993,KG
62,直接材料,丁文杰,,KPKYT（DJCQ2）CJSCRBB-20240602-002,,结束,2024-06-01 06:00:00,7期酪蛋白消耗,664aef5ce4b014e238bb144d,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 04:24:07,6654500626abb50001c5f993,KG
63,直接材料,丁文杰,,KPKYT（DJCQ2）CJSCRBB-20240602-002,,结束,2024-06-01 06:00:00,7期煤油消耗,664aef5ce4b014e238bb144d,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,煤油,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 04:24:07,6654500626abb50001c5f993,升
64,直接材料,丁文杰,,KPKYT（DJCQ2）CJSCRBB-20240602-002,,结束,2024-06-01 06:00:00,五期电解铜生产入库,664aef5ce4b014e238bb144d,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,产量,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 04:24:07,6654500626abb50001c5f993,吨
65,直接材料,丁文杰,,KPKYT（DJCQ2）CJSCRBB-20240602-002,,结束,2024-06-01 06:00:00,四期电解铜生产入库,664aef5ce4b014e238bb144d,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,产量,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 04:24:07,6654500626abb50001c5f993,吨
66,直接材料,丁文杰,,KPKYT（DJCQ2）CJSCRBB-20240602-002,,结束,2024-06-01 06:00:00,五期电解铜生产入库,664aef5ce4b014e238bb144d,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 04:24:07,6654500626abb50001c5f993,槽
67,直接材料,丁文杰,,KPKYT（DJCQ2）CJSCRBB-20240602-002,,结束,2024-06-01 06:00:00,四期电解铜生产入库,664aef5ce4b014e238bb144d,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 04:24:07,6654500626abb50001c5f993,槽
68,直接材料,丁文杰,,KPKYT（DJCQ2）CJSCRBB-20240602-002,,结束,2024-06-01 06:00:00,7期硫酸消耗,664aef5ce4b014e238bb144d,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,0.0,萃取硫酸,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 04:24:07,6654500626abb50001c5f993,立方米
69,直接材料,丁文杰,,KPKYT（DJCQ2）CJSCRBB-20240602-002,,结束,2024-06-01 06:00:00,七期萃取萃取量,664aef5ce4b014e238bb144d,2024-06-01,eaff4b821df645d4a1bbd0ce826be9fb,10731.0,暂无分类,,,夜班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-02 04:24:07,6654500626abb50001c5f993,立方米
70,直接材料,柳新,,KPKYT（DJCQ2）CJSCRBB-20240603-001,,结束,2024-06-02 06:00:00,4-5期瓜尔胶消耗,664aef5ce4b014e238bb1449,2024-06-02,eaff4b821df645d4a1bbd0ce826be9fb,12.0,瓜尔胶,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-03 01:34:11,6654500626abb50001c5f993,KG
71,直接材料,柳新,,KPKYT（DJCQ2）CJSCRBB-20240603-001,,结束,2024-06-02 06:00:00,7期硫脲消耗,664aef5ce4b014e238bb1449,2024-06-02,eaff4b821df645d4a1bbd0ce826be9fb,0.0,暂无分类,,,白班,凯鹏矿业铜（电解萃取2）车间生产日报表,2024-06-03 01:34:11,6654500626abb50001c5f993,KG
