,明细_所属分类,取数日期,数据日期,明细_数量,所属部门,明细_所属项目,班次,明细_项目,明细_计量单位
124,直接材料,2025-05-12,2025-05-12 06:00:00,120.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
125,直接材料,2025-05-12,2025-05-12 06:00:00,140.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
126,直接材料,2025-05-12,2025-05-12 06:00:00,1018.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
127,直接材料,2025-05-12,2025-05-12 06:00:00,690.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
128,直接材料,2025-05-12,2025-05-12 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
129,直接材料,2025-05-12,2025-05-12 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
130,直接材料,2025-05-12,2025-05-12 06:00:00,1.588,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
131,直接材料,2025-05-12,2025-05-12 06:00:00,0.366,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
132,直接材料,2025-05-13,2025-05-13 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,kg
133,直接材料,2025-05-13,2025-05-13 06:00:00,941.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
134,直接材料,2025-05-13,2025-05-13 06:00:00,2188.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
135,直接材料,2025-05-13,2025-05-13 06:00:00,270.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
136,直接材料,2025-05-13,2025-05-13 06:00:00,150.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
137,直接材料,2025-05-13,2025-05-13 06:00:00,1109.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
138,直接材料,2025-05-13,2025-05-13 06:00:00,738.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
139,直接材料,2025-05-13,2025-05-13 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
140,直接材料,2025-05-13,2025-05-13 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
141,直接材料,2025-05-13,2025-05-13 06:00:00,0.0,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
142,直接材料,2025-05-13,2025-05-13 06:00:00,0.433,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
143,直接材料,2025-05-14,2025-05-14 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,kg
144,直接材料,2025-05-14,2025-05-14 06:00:00,593.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
145,直接材料,2025-05-14,2025-05-14 06:00:00,2066.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
146,直接材料,2025-05-14,2025-05-14 06:00:00,230.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
147,直接材料,2025-05-14,2025-05-14 06:00:00,150.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
148,直接材料,2025-05-14,2025-05-14 06:00:00,1019.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
149,直接材料,2025-05-14,2025-05-14 06:00:00,811.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
150,直接材料,2025-05-14,2025-05-14 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
151,直接材料,2025-05-14,2025-05-14 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
152,直接材料,2025-05-14,2025-05-14 06:00:00,1.716,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
153,直接材料,2025-05-14,2025-05-14 06:00:00,0.539,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
154,直接材料,2025-05-15,2025-05-15 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,kg
155,直接材料,2025-05-15,2025-05-15 06:00:00,1038.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
156,直接材料,2025-05-15,2025-05-15 06:00:00,1557.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
157,直接材料,2025-05-15,2025-05-15 06:00:00,220.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
158,直接材料,2025-05-15,2025-05-15 06:00:00,150.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
159,直接材料,2025-05-15,2025-05-15 06:00:00,964.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
160,直接材料,2025-05-15,2025-05-15 06:00:00,755.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
161,直接材料,2025-05-15,2025-05-15 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
162,直接材料,2025-05-15,2025-05-15 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
163,直接材料,2025-05-15,2025-05-15 06:00:00,1.073,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
164,直接材料,2025-05-15,2025-05-15 06:00:00,0.46,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
165,直接材料,2025-05-16,2025-05-16 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,kg
166,直接材料,2025-05-16,2025-05-16 06:00:00,1017.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
167,直接材料,2025-05-16,2025-05-16 06:00:00,2374.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
168,直接材料,2025-05-16,2025-05-16 06:00:00,300.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
169,直接材料,2025-05-16,2025-05-16 06:00:00,160.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
170,直接材料,2025-05-16,2025-05-16 06:00:00,1072.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
171,直接材料,2025-05-16,2025-05-16 06:00:00,759.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
172,直接材料,2025-05-16,2025-05-16 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
173,直接材料,2025-05-16,2025-05-16 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
174,直接材料,2025-05-16,2025-05-16 06:00:00,1.675,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
175,直接材料,2025-05-16,2025-05-16 06:00:00,0.361,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
176,直接材料,2025-05-17,2025-05-17 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,kg
177,直接材料,2025-05-17,2025-05-17 06:00:00,1163.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
178,直接材料,2025-05-17,2025-05-17 06:00:00,2159.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
179,直接材料,2025-05-17,2025-05-17 06:00:00,290.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
180,直接材料,2025-05-17,2025-05-17 06:00:00,80.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
181,直接材料,2025-05-17,2025-05-17 06:00:00,563.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
182,直接材料,2025-05-17,2025-05-17 06:00:00,425.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
183,直接材料,2025-05-17,2025-05-17 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
184,直接材料,2025-05-17,2025-05-17 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
185,直接材料,2025-05-17,2025-05-17 06:00:00,1.867,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
186,直接材料,2025-05-17,2025-05-17 06:00:00,0.471,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
187,直接材料,2025-05-18,2025-05-18 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,kg
188,直接材料,2025-05-18,2025-05-18 06:00:00,919.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
189,直接材料,2025-05-18,2025-05-18 06:00:00,2112.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
190,直接材料,2025-05-18,2025-05-18 06:00:00,260.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
191,直接材料,2025-05-18,2025-05-18 06:00:00,160.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
192,直接材料,2025-05-18,2025-05-18 06:00:00,1076.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
193,直接材料,2025-05-18,2025-05-18 06:00:00,783.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
194,直接材料,2025-05-18,2025-05-18 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
195,直接材料,2025-05-18,2025-05-18 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
196,直接材料,2025-05-18,2025-05-18 06:00:00,1.76,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
197,直接材料,2025-05-18,2025-05-18 06:00:00,0.348,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
198,直接材料,2025-05-19,2025-05-19 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,㎏
199,直接材料,2025-05-19,2025-05-19 06:00:00,1121.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
200,直接材料,2025-05-19,2025-05-19 06:00:00,2083.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
201,直接材料,2025-05-19,2025-05-19 06:00:00,280.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
202,直接材料,2025-05-19,2025-05-19 06:00:00,120.0,动力设备分厂,暂无分类,夜班,4、5号球磨用水量,吨
203,直接材料,2025-05-19,2025-05-19 06:00:00,968.0,动力设备分厂,球磨矿石,夜班,4号磨机磨矿湿重,吨
204,直接材料,2025-05-19,2025-05-19 06:00:00,476.0,动力设备分厂,球磨矿石,夜班,5号磨机磨矿湿重,吨
205,直接材料,2025-05-19,2025-05-19 06:00:00,0.0,动力设备分厂,衬板,夜班,1-2期半自磨衬板消耗,吨
206,直接材料,2025-05-19,2025-05-19 06:00:00,0.0,动力设备分厂,衬板,夜班,4、5号球磨衬板消耗,吨
207,直接材料,2025-05-19,2025-05-19 06:00:00,1.801,动力设备分厂,钢球,夜班,1-2期半自磨钢球消耗,吨
208,直接材料,2025-05-19,2025-05-19 06:00:00,0.188,动力设备分厂,钢球,夜班,4、5号球磨钢球消耗,吨
209,直接材料,2025-05-20,2025-05-20 06:00:00,50.0,动力设备分厂,絮凝剂,夜班,,㎏
210,直接材料,2025-05-20,2025-05-20 06:00:00,1249.0,动力设备分厂,半自磨矿石,夜班,1期半自磨磨矿湿重,吨
211,直接材料,2025-05-20,2025-05-20 06:00:00,2320.0,动力设备分厂,半自磨矿石,夜班,2期半自磨磨矿湿重,吨
212,直接材料,2025-05-20,2025-05-20 06:00:00,310.0,动力设备分厂,暂无分类,夜班,1-2期半自磨用水量,吨
