,明细_所属分类,填表人,流水号,图片,文件,审批状态,数据日期,所属部门,明细_项目,oid,取数日期,TemplateCodeId,明细_数量,明细_所属项目,明细_备注,完成时间,班次,标题,申请日期,TemplateId,明细_计量单位
55,直接材料,金涛,KPKYT（MF）CJSCRBB-20240603-002,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨絮凝剂消耗,664aef5ce4b014e238bb1454,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,225.0,絮凝剂,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 12:54:41,665852eecfa09900015eefbe,kg
56,直接材料,金涛,KPKYT（MF）CJSCRBB-20240603-002,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨2号油消耗,664aef5ce4b014e238bb1454,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,140.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 12:54:41,665852eecfa09900015eefbe,千克
57,直接材料,金涛,KPKYT（MF）CJSCRBB-20240603-002,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨乙硫氨酯,664aef5ce4b014e238bb1454,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,172.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 12:54:41,665852eecfa09900015eefbe,千克
58,直接材料,金涛,KPKYT（MF）CJSCRBB-20240603-002,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨戊基黄药,664aef5ce4b014e238bb1454,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,594.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 12:54:41,665852eecfa09900015eefbe,千克
59,直接材料,金涛,KPKYT（MF）CJSCRBB-20240603-002,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨磨矿量湿重,664aef5ce4b014e238bb1454,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,5249.0,磨浮矿石,水分%10.97,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 12:54:41,665852eecfa09900015eefbe,吨
60,直接材料,金涛,KPKYT（MF）CJSCRBB-20240603-002,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨衬板消耗,664aef5ce4b014e238bb1454,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,衬板,0,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 12:54:41,665852eecfa09900015eefbe,吨
61,直接材料,金涛,KPKYT（MF）CJSCRBB-20240603-002,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨钢球消耗,664aef5ce4b014e238bb1454,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,4.0,钢球,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 12:54:41,665852eecfa09900015eefbe,吨
62,直接材料,金涛,KPKYT（MF）CJSCRBB-20240603-002,,,结束,2024-06-02 06:00:00,磨浮压滤工段,铜精矿产量,664aef5ce4b014e238bb1454,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,200.0,铜精矿水份,水分17.5,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 12:54:41,665852eecfa09900015eefbe,吨
63,直接材料,金涛,KPKYT（MF）CJSCRBB-20240603-002,,,结束,2024-06-02 06:00:00,磨浮压滤工段,3期半自磨用水量,664aef5ce4b014e238bb1454,2024-06-02,2d640fd0b6eb4e2d819cf4119a3d5839,1469.0,暂无分类,,,白班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-03 12:54:41,665852eecfa09900015eefbe,立方米
64,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240604-001,,,结束,2024-06-03 06:00:00,磨浮压滤工段,3期半自磨絮凝剂消耗,664aef5ce4b014e238bb145a,2024-06-03,2d640fd0b6eb4e2d819cf4119a3d5839,120.0,絮凝剂,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-04 01:20:35,665852eecfa09900015eefbe,kg
65,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240604-001,,,结束,2024-06-03 06:00:00,磨浮压滤工段,3期半自磨2号油消耗,664aef5ce4b014e238bb145a,2024-06-03,2d640fd0b6eb4e2d819cf4119a3d5839,61.7,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-04 01:20:35,665852eecfa09900015eefbe,千克
66,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240604-001,,,结束,2024-06-03 06:00:00,磨浮压滤工段,3期半自磨乙硫氨酯,664aef5ce4b014e238bb145a,2024-06-03,2d640fd0b6eb4e2d819cf4119a3d5839,76.0,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-04 01:20:35,665852eecfa09900015eefbe,千克
67,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240604-001,,,结束,2024-06-03 06:00:00,磨浮压滤工段,3期半自磨戊基黄药,664aef5ce4b014e238bb145a,2024-06-03,2d640fd0b6eb4e2d819cf4119a3d5839,261.3,暂无分类,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-04 01:20:35,665852eecfa09900015eefbe,千克
68,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240604-001,,,结束,2024-06-03 06:00:00,磨浮压滤工段,3期半自磨磨矿量湿重,664aef5ce4b014e238bb145a,2024-06-03,2d640fd0b6eb4e2d819cf4119a3d5839,2323.0,磨浮矿石,水分9.87％,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-04 01:20:35,665852eecfa09900015eefbe,吨
69,直接材料,陈佳,KPKYT（MF）CJSCRBB-20240604-001,,,结束,2024-06-03 06:00:00,磨浮压滤工段,3期半自磨衬板消耗,664aef5ce4b014e238bb145a,2024-06-03,2d640fd0b6eb4e2d819cf4119a3d5839,0.0,衬板,,,夜班,凯鹏矿业铜（磨浮）车间生产日报表,2024-06-04 01:20:35,665852eecfa09900015eefbe,吨
