,明细_所属分类,填表人,流水号,图片,文件,审批状态,数据日期,所属部门,明细_项目,oid,取数日期,TemplateCodeId,明细_数量,明细_所属项目,明细_备注,完成时间,班次,标题,申请日期,TemplateId,明细_计量单位
57,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-002,,,结束,2024-06-02 06:00:00,硫酸分厂,外购硫酸数量,664aef5ce4b014e238bb144b,2024-06-02,38c28f7b4c8c4af191a6c5f70c13473b,228.92,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:00:51,6654506926abb50001c5fa6c,吨
58,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-002,,,结束,2024-06-02 06:00:00,硫酸分厂,硫磺入库,664aef5ce4b014e238bb144b,2024-06-02,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:00:51,6654506926abb50001c5fa6c,吨
59,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-002,,,结束,2024-06-02 06:00:00,硫酸分厂,硫磺消耗,664aef5ce4b014e238bb144b,2024-06-02,38c28f7b4c8c4af191a6c5f70c13473b,28.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:00:51,6654506926abb50001c5fa6c,吨
60,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-002,,,结束,2024-06-02 06:00:00,硫酸分厂,打入半自磨硫酸数量,664aef5ce4b014e238bb144b,2024-06-02,38c28f7b4c8c4af191a6c5f70c13473b,0.0,半自磨硫酸,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:00:51,6654506926abb50001c5fa6c,立方米
61,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-002,,,结束,2024-06-02 06:00:00,硫酸分厂,打入浓密硫酸数量,664aef5ce4b014e238bb144b,2024-06-02,38c28f7b4c8c4af191a6c5f70c13473b,195.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:00:51,6654506926abb50001c5fa6c,立方米
62,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-002,,,结束,2024-06-02 06:00:00,硫酸分厂,新硫酸打入老硫酸,664aef5ce4b014e238bb144b,2024-06-02,38c28f7b4c8c4af191a6c5f70c13473b,49.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:00:51,6654506926abb50001c5fa6c,立方米
63,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-002,,,结束,2024-06-02 06:00:00,硫酸分厂,硫酸生产出酸产量,664aef5ce4b014e238bb144b,2024-06-02,38c28f7b4c8c4af191a6c5f70c13473b,48.37,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:00:51,6654506926abb50001c5fa6c,立方米
64,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-002,,,结束,2024-06-02 06:00:00,硫酸分厂,硫磺入库,664aef5ce4b014e238bb144b,2024-06-02,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:00:51,6654506926abb50001c5fa6c,袋
65,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-002,,,结束,2024-06-02 06:00:00,硫酸分厂,硫磺消耗,664aef5ce4b014e238bb144b,2024-06-02,38c28f7b4c8c4af191a6c5f70c13473b,21.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:00:51,6654506926abb50001c5fa6c,袋
66,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-003,,,结束,2024-06-03 06:00:00,硫酸分厂,碳酸钠（纯碱）消耗,664aef5ce4b014e238bb144b,2024-06-03,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:41:22,6654506926abb50001c5fa6c,KG
67,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-003,,,结束,2024-06-03 06:00:00,硫酸分厂,阻垢剂消耗,664aef5ce4b014e238bb144b,2024-06-03,38c28f7b4c8c4af191a6c5f70c13473b,0.0,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:41:22,6654506926abb50001c5fa6c,KG
68,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-003,,,结束,2024-06-03 06:00:00,硫酸分厂,外购硫酸数量,664aef5ce4b014e238bb144b,2024-06-03,38c28f7b4c8c4af191a6c5f70c13473b,188.24,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:41:22,6654506926abb50001c5fa6c,吨
69,直接材料,汤晓平,KPKYTLSCJ（1）SCRBB-20240604-003,,,结束,2024-06-03 06:00:00,硫酸分厂,硫磺入库,664aef5ce4b014e238bb144b,2024-06-03,38c28f7b4c8c4af191a6c5f70c13473b,125.8,暂无分类,,,白班,凯鹏矿业铜硫酸车间（1）生产日报表,2024-06-04 22:41:22,6654506926abb50001c5fa6c,吨
